Sr. No,Words,Score (0-10),
1,माओवादियों,5,from here
2,फोड़,6,
3,तोड़,6,
4,साले,7,
5,इस्लाम,3,
6,धर्म,3,
7,चोर,7,
8,मौत,5,
9,देशद्रोही,7,
10,चोर,8,
11,लुटेरा,7,
12,नाजायज,7,
13,कमीनी,8,
14,औकात,5,
15,फाड़,6,
16,लड़,4,
17,गद्दारों,6,
18,कुत्ते,7,
19,कलंकित,6,
20,झटका,6,
21,ज़ुल्म,7,
22,नंग,7,
23,मरेगी,6,
24,तोड़फोड़,6,
25,फट,3,
26,आत्महत्या,2,
27,शूद्र,3,
28,मुसलमान,2,
29,आरोपी,7,
30,हत्यारे,7,
31,पीट,6,
32,पीटकर,6,
33,मार,6,
34,झूठ,5,
35,मुस्लिम,5,
36,आतंकवादी,7,
37,डायन,7,
38,जंग,5,
39,फेंकूँ,7,
40,भ्रष्टाचार,7,
41,ब्लास्ट,5,
42,जिहादी,7,
43,आतंकियों,6,
44,बलात्कार,7,
45,दलित,6,
46,नंगा,8,
47,तुम्हारी औकात,7,
48,हत्या,5,
49,पिल्ला,8,
50,अबे,6,
51,गधे,8,
52,हमला,5,
53,सुवर,8,
54,अंधभक्त,6,
55,गद्दार,6,
56,कटुये,6,
57,कुत्ता,8,
58,लालची,7,
59,मतलबी,8,
60,नशेड़ी,8,
61,साला,8,
62,बहनचोद,8,
63,अश्लील,8,
64,हरामखोर,8,
65,कुत्तों,8,
66,कालाबाजारी,7,
67,कीड़े,8,
68,चुतियप्पा,8,
69,भोसड़ीके,9,
70,हराम,7,
71,मर्डर,6,
72,राजद्रोह,7,
73,कांड,6,
74,हैवान,8,
75,तमाचा,5,
76,शर्म,2,
77,फ्रॉड,6,
78,गान्ड,9,
79,दल्ले,8,
80,गू,8,
81,मुल्लों,5,
82,गुलाम,6,
83,वाट,6,
84,बदमाश,7,
85,कूतिया,8,
86,जानवर,6,
87,लूटने,5,
88,भड़वे ,9,
89,पोर्न,9,
90,पिछड़ों,8,
91,भद्द,9,
92,रण्डी ,9,
93,भांड,7,
94,दंगे,5,
95,राष्ट्रद्रोही,7,
96,बलात्कारी,9,
97,धमकी,5,
98,मजबूर,5,
99,टक्कर,5,
100,घायल,4,
101,घटना,4,
102,औलाद,3,
103,निकल,4,
104,अपील,5,
105,डर,2,
106,नाराजगी,7,
107,मर,5,
108,सरकार,1,
109,मारकर,2,
110,खुदकुशी,5,
111,प्रजातियो,1,
112,कांग्रेसी,2,
113,बीजेपी,2,
114,मोदी,2,
115,बदिर,1,from here
116,बदीरचंद,1,
117,बकलैंड,1,
118,भादव,2,
119,भूतनिका,3,
120,चीनाल,3,
121,चुप,1,
122,चुटिया,5,
123,घस्ती,4,
124,चुटिया,5,
125,हरामी,5,
126,हराम,5,
127,हिजरा,3,
128,हिंजदा,3,
129,जांवरी,1,
130,कुट्टा,2,
131,कुटिया,3,
132,खोटा,1,
133,औलाधीन,2,
134,जाति,1,
135,नाजायज़ी,3,
136,गंडपेडैइश,2,
137,साला,2,
138,कुट्टी,2,
139,तो खत्म,3,
140,टट्टी,3,
141,उन्माद,3,
142,बहनचोद,9,
143,बहनछोड़,9,
144,बहनचो,9,
145,बैंचो,7,
146,बहनके,6,
147,लॉड,7,
148,ताके,7,
149,बेटीचोद,9,
150,भाईचोद,8,
151,भैंसे,1,
152,झल्ला,6,
153,झंटू,7,
154,नबाली,4,
155,पिस्सू,3,
156,कुत्ते,2,
157,मादरचोद,10,
158,मदरचोद,10,
159,पद्मा,6,
160,रैंडो,9,
161,जमाई,5,
162,रंदवा,8,
163,रैंडी,8,
164,बचाछोड़,8,
165,बचाछोड़,8,
166,बोने वाला,3,
167,बच्चेचोद,8,
168,उल्लू,1,
169,पथे,1,
170,बाँदा,7,
171,बूबले,7,
172,मूर्ख,7,
173,बुलबुला,7,
174,बबला,7,
175,भोंसरीवाला,8,
176,भोंसदीवाला,8,
177,सिले,8,
178,चुटो,8,
179,चोद,7,
180,चोडु,7,
181,छोडरा,7,
182,चूची,8,
183,चुचि,8,
184,गंडू,9,
185,गंडू,9,
186,गांदो,9,
187,लवदा,8,
188,लॉडा,8,
189,लौडा,8,
190,लुंड,8,
191,बालचोद,7,
192,लैवेंडर,8,
193,मठ,7,
194,माचो,10,
195,मामी,8,
196,टाटे,8,
197,टोटो,8,
198,टूटा,7,
199,बकारो,2,
